pair,asset_a,asset_b,window_start,window_end,stat,pvalue
SOL-BCH,SOL,BCH,2025-02-27T14:18:20.000000,2025-03-29T13:18:20.000000,-2.8974305077843923,0.13664200590868592
SOL-BCH,SOL,BCH,2025-03-18T10:18:20.000000,2025-04-17T09:18:20.000000,-2.7377533967429493,0.1862949204748901
SOL-BCH,SOL,BCH,2025-04-17T05:18:20.000000,2025-05-17T04:18:20.000000,-3.336711467603449,0.049882210803937226
SOL-BCH,SOL,BCH,2025-04-17T20:18:20.000000,2025-05-17T19:18:20.000000,-3.453364594024012,0.036759545890851175
SOL-BCH,SOL,BCH,2025-06-04T07:18:20.000000,2025-07-04T06:18:20.000000,-1.991108964630863,0.5331965837597297
SOL-BCH,SOL,BCH,2025-06-13T04:18:20.000000,2025-07-13T03:18:20.000000,-1.8377696270281478,0.6112012862987413
SOL-BCH,SOL,BCH,2025-08-05T08:18:20.000000,2025-09-04T07:18:20.000000,-1.7556338427295957,0.651011242850096
SOL-BCH,SOL,BCH,2025-10-15T18:18:20.000000,2025-11-14T17:18:20.000000,-0.6505243177330068,0.9517184053437548
SOL-BCH,SOL,BCH,2025-10-22T07:18:20.000000,2025-11-21T06:18:20.000000,-1.5934522717435595,0.723645756031317
SOL-ADA,SOL,ADA,2021-07-15T12:18:20.000000,2021-08-14T11:18:20.000000,-1.7091166992377524,0.6727270006570328
SOL-ADA,SOL,ADA,2021-07-31T12:18:20.000000,2021-08-30T11:18:20.000000,-2.138105474921437,0.4564722364546768
SOL-ADA,SOL,ADA,2021-08-10T02:18:20.000000,2021-09-09T01:18:20.000000,1.0950026843776348,1.0
SOL-ADA,SOL,ADA,2021-09-17T05:18:20.000000,2021-10-17T04:18:20.000000,-2.4594824870009915,0.2972247044391417
SOL-ADA,SOL,ADA,2022-03-02T08:18:20.000000,2022-04-01T07:18:20.000000,-0.9626297821092337,0.9097086461756996
SOL-ADA,SOL,ADA,2022-05-09T03:18:20.000000,2022-06-08T02:18:20.000000,-2.127932196578698,0.46177763970599933
SOL-ADA,SOL,ADA,2022-07-04T17:18:20.000000,2022-08-03T16:18:20.000000,-3.9872768138132884,0.007486981589014638
SOL-ADA,SOL,ADA,2022-09-05T08:18:20.000000,2022-10-05T07:18:20.000000,-2.6014093013809103,0.23626246486136376
SOL-ADA,SOL,ADA,2022-09-21T14:18:20.000000,2022-10-21T13:18:20.000000,-1.8437584294414509,0.608233999416638
SOL-ADA,SOL,ADA,2022-09-25T22:18:20.000000,2022-10-25T21:18:20.000000,-1.9195283620700505,0.5700704270897972
SOL-ADA,SOL,ADA,2022-09-29T07:18:20.000000,2022-10-29T06:18:20.000000,-2.4861122048862128,0.2852280819863288
SOL-ADA,SOL,ADA,2022-09-29T11:18:20.000000,2022-10-29T10:18:20.000000,-2.5860822346840844,0.24247763303865777
SOL-ADA,SOL,ADA,2022-11-17T05:18:20.000000,2022-12-17T04:18:20.000000,-2.3883816757095073,0.3303772713864169
SOL-ADA,SOL,ADA,2023-03-11T02:18:20.000000,2023-04-10T01:18:20.000000,-2.231771545305479,0.4080451923949344
SOL-ADA,SOL,ADA,2023-03-25T15:18:20.000000,2023-04-24T14:18:20.000000,-2.1508061838797534,0.44985744650225656
SOL-ADA,SOL,ADA,2023-04-12T02:18:20.000000,2023-05-12T01:18:20.000000,-3.653239063717943,0.02102025739906835
SOL-ADA,SOL,ADA,2023-04-14T02:18:20.000000,2023-05-14T01:18:20.000000,-3.7099585611298913,0.017792152756307685
SOL-ADA,SOL,ADA,2023-05-14T08:18:20.000000,2023-06-13T07:18:20.000000,-2.895179337752046,0.13726922041815132
SOL-ADA,SOL,ADA,2023-05-17T19:18:20.000000,2023-06-16T18:18:20.000000,-2.9400988224211355,0.12513938798820334
SOL-ADA,SOL,ADA,2023-05-18T12:18:20.000000,2023-06-17T11:18:20.000000,-2.886530348703637,0.1396980824965633
SOL-ADA,SOL,ADA,2023-07-03T05:18:20.000000,2023-08-02T04:18:20.000000,-2.6108424586159256,0.2324840847905693
SOL-ADA,SOL,ADA,2023-07-12T21:18:20.000000,2023-08-11T20:18:20.000000,-2.4648557161796063,0.29478470886436614
SOL-ADA,SOL,ADA,2023-07-24T15:18:20.000000,2023-08-23T14:18:20.000000,-2.3085010652374027,0.3693185832234221
SOL-ADA,SOL,ADA,2023-08-03T02:18:20.000000,2023-09-02T01:18:20.000000,-2.47814964488911,0.2887897924716887
SOL-ADA,SOL,ADA,2023-08-28T00:18:20.000000,2023-09-26T23:18:20.000000,-1.9352380531925824,0.5620338595874742
SOL-ADA,SOL,ADA,2023-09-28T00:18:20.000000,2023-10-27T23:18:20.000000,-2.2574248112734527,0.39497850210198876
SOL-ADA,SOL,ADA,2023-11-15T17:18:20.000000,2023-12-15T16:18:20.000000,-3.414871849210332,0.040725310731663925
SOL-ADA,SOL,ADA,2023-12-06T02:18:20.000000,2024-01-05T01:18:20.000000,-0.7817471482515144,0.937060527390898
SOL-ADA,SOL,ADA,2024-01-21T09:18:20.000000,2024-02-20T08:18:20.000000,-2.5757902613784567,0.24670332596426287
SOL-ADA,SOL,ADA,2024-02-06T13:18:20.000000,2024-03-07T12:18:20.000000,-2.477753379091664,0.28896761707980184
SOL-ADA,SOL,ADA,2024-02-17T03:18:20.000000,2024-03-18T02:18:20.000000,-0.18484457102646124,0.9805482535511376
SOL-ADA,SOL,ADA,2024-04-30T12:18:20.000000,2024-05-30T11:18:20.000000,-3.3458699734743345,0.0487284166176999
SOL-ADA,SOL,ADA,2024-05-20T22:18:20.000000,2024-06-19T21:18:20.000000,-2.844765198968991,0.15185620206307865
SOL-ADA,SOL,ADA,2024-08-07T03:18:20.000000,2024-09-06T02:18:20.000000,-1.6371636516883359,0.7049516783319755
SOL-ADA,SOL,ADA,2024-10-28T00:18:20.000000,2024-11-26T23:18:20.000000,-2.6807678096491014,0.20657181929847962
SOL-ADA,SOL,ADA,2024-12-07T12:18:20.000000,2025-01-06T11:18:20.000000,-3.2824450591363243,0.057187907783477356
SOL-ADA,SOL,ADA,2025-02-23T01:18:20.000000,2025-03-25T00:18:20.000000,-2.840079238547053,0.15326496036023396
SOL-ADA,SOL,ADA,2025-03-16T14:18:20.000000,2025-04-15T13:18:20.000000,-2.5596952107061837,0.2533947098827446
SOL-ADA,SOL,ADA,2025-03-17T04:18:20.000000,2025-04-16T03:18:20.000000,-2.419765272803236,0.3155517158153408
SOL-ADA,SOL,ADA,2025-03-29T01:18:20.000000,2025-04-28T00:18:20.000000,-1.9876692197967851,0.5349815655293192
SOL-ADA,SOL,ADA,2025-06-10T08:18:20.000000,2025-07-10T07:18:20.000000,-2.138764638803279,0.45612867898938575
SOL-ADA,SOL,ADA,2025-06-15T08:18:20.000000,2025-07-15T07:18:20.000000,-2.489347623038093,0.2837871537396512
SOL-ADA,SOL,ADA,2025-08-15T23:18:20.000000,2025-09-14T22:18:20.000000,-0.2211425591296284,0.9792055804351258
SOL-ADA,SOL,ADA,2025-09-01T03:18:20.000000,2025-10-01T02:18:20.000000,-3.369948996522371,0.04579956842975333
SOL-ADA,SOL,ADA,2025-09-04T14:18:20.000000,2025-10-04T13:18:20.000000,-3.7708102332852524,0.014819532244311286
SOL-ADA,SOL,ADA,2025-09-14T22:18:20.000000,2025-10-14T21:18:20.000000,-3.988965875835118,0.007445737647091152
SOL-ADA,SOL,ADA,2025-09-20T02:18:20.000000,2025-10-20T01:18:20.000000,-3.6842801423353313,0.019195588586903636
SOL-ADA,SOL,ADA,2025-10-04T18:18:20.000000,2025-11-03T17:18:20.000000,-4.462385975111276,0.0014110441257344567
SOL-ADA,SOL,ADA,2025-11-15T16:18:20.000000,2025-12-15T15:18:20.000000,-3.5369582328607896,0.02925676324930753
SOL-ADA,SOL,ADA,2025-11-28T15:18:20.000000,2025-12-28T14:18:20.000000,-5.229347286948977,0.000061010005209087394
