pair,sharpe,sharpe_se,max_drawdown,hit_rate,total_return
SOL-ADA,1.309042310663389,0.5644053890922112,-5.928353031572608,0.37506493506493505,8.463724458001739
BCH-ADA,0.22373820540719228,0.5643785957861819,-1.466144129614694,0.37433671008200675,-0.19407704303584994
BCH-XRP,-0.13626314245219318,0.5643780885692041,-2.4107233317519663,0.3219448094612352,-0.5410713892536532
SOL-XRP,-0.2433070243893448,0.5643787429932612,-0.9284747988169224,0.3059163059163059,-0.7993646724714675
SOL-BCH,-0.4288597100974118,0.5643807518481685,-0.9291617490114942,0.41825683341928827,-0.7445546762086046
ADA-XRP,-0.5815588084711659,0.5643832369280359,-1.4321435060328376,0.3099656357388316,-0.8079337670199273
