pair,mean_pvalue,median_pvalue,frac_significant,mean_stat
BCH-ADA,0.3402875746403515,0.2768902316701263,0.28,-2.502355851076002
SOL-ADA,0.325537260512967,0.28450761786299,0.24,-2.5312517599470565
SOL-XRP,0.375766351052885,0.29973566979519994,0.16,-2.4237294468908335
ADA-XRP,0.3544403995237644,0.29720350682125046,0.16,-2.3820971445149315
BCH-XRP,0.45036348411058064,0.47624747165493625,0.1,-2.193352835297717
SOL-BCH,0.3912999495517675,0.30266976831976045,0.08,-2.2861707518404293
