pair_key,frac_significant_usd,frac_significant_gbp,mean_pvalue_usd,mean_pvalue_gbp
BCH-ADA,0.28,0.12,0.3402875746403515,0.4565892006590493
SOL-ADA,0.24,0.22,0.325537260512967,0.35683194671003726
SOL-XRP,0.16,0.2,0.375766351052885,0.3776664398765746
ADA-XRP,0.16,0.28,0.3544403995237644,0.32474798104124347
BCH-XRP,0.1,0.08,0.4503634841105806,0.4292712524922974
SOL-BCH,0.08,0.16,0.3912999495517675,0.36278317548980277
