out_of_sample_variant,sharpe,max_drawdown,hit_rate,total_return
unbounded_exit (notebook 05),0.4240388703660779,-0.4595952869894198,0.3914438502673796,0.1219962055402563
bounded_exit_only,1.3737913225186547,-0.23879095879210754,0.2972508591065292,0.7259143081728074
bounded_exit + meta_labeling,1.4251393421705645,-0.15948818334792003,0.3492063492063492,0.4232632709928239
